lambda_exact,lambda_min,epsilon_exact,p_one_use_exact_rational,p_one_use,p_one_use_lower,p_one_use_upper,p_rep,p_rep_lower,p_rep_upper,gap,gap_lower,gap_upper,asymptote_slope_exact,linear_asymptote,linear_asymptote_lower,linear_asymptote_upper,exact_one_use_domain,geometry,full_span,all_code_capacity_boundary
7/500,0.014,1/10,3097/4222,0.73353860729512080,0.733538607295120795831359545239223117006158218853623874940786,0.733538607295120795831359545239223117006158218853623874940787,0.73441728843329493,0.734417288433294928511869875086408743774014010459002963334285,0.734417288433294928511869875086408743774014010459002963334286,0.00087868113817413268,0.000878681138174132680510329847185626767855791605379088393498,0.000878681138174132680510329847185626767855791605379088393499,18/289,0.00087197231833910035,0.000871972318339100346020761245674740484429065743944636678200,0.000871972318339100346020761245674740484429065743944636678201,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
29/2000,0.0145,1/10,344/469,0.73347547974413646,0.733475479744136460554371002132196162046908315565031982942430,0.733475479744136460554371002132196162046908315565031982942431,0.73438579224091530,0.734385792240915300176073843481272381457956300752200209192843,0.734385792240915300176073843481272381457956300752200209192844,0.00091031249677883962,0.000910312496778839621702841349076219411047985187168226250413,0.000910312496778839621702841349076219411047985187168226250414,18/289,0.00090311418685121107,0.000903114186851211072664359861591695501730103806228373702422,0.000903114186851211072664359861591695501730103806228373702423,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
3/200,0.015,1/10,619/844,0.73341232227488152,0.733412322274881516587677725118483412322274881516587677725118,0.733412322274881516587677725118483412322274881516587677725119,0.73435428348839198,0.734354283488391978840336512529184715852791936334421496067376,0.734354283488391978840336512529184715852791936334421496067377,0.00094196121351046225,0.000941961213510462252658787410701303530517054817833818342257,0.000941961213510462252658787410701303530517054817833818342258,18/289,0.00093425605536332180,0.000934256055363321799307958477508650519031141868512110726643,0.000934256055363321799307958477508650519031141868512110726644,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
31/2000,0.0155,1/10,3094/4219,0.73334913486608201,0.733349134866082009954965631666271628347949751125859208343209,0.733349134866082009954965631666271628347949751125859208343210,0.73432276216697646,0.734322762166976464633636551722715028125513261609044923684735,0.734322762166976464633636551722715028125513261609044923684736,0.00097362730089445468,0.000973627300894454678670920056443399777563510483185715341525,0.000973627300894454678670920056443399777563510483185715341526,18/289,0.00096539792387543253,0.000965397923875432525951557093425605536332179930795847750865,0.000965397923875432525951557093425605536332179930795847750866,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
2/125,0.016,1/10,1031/1406,0.73328591749644381,0.733285917496443812233285917496443812233285917496443812233285,0.733285917496443812233285917496443812233285917496443812233286,0.73429122826791149,0.734291228267911494650203670424645899207738787931184870660887,0.734291228267911494650203670424645899207738787931184870660888,0.0010053107714676824,0.001005310771467682416917752928202086974452870434741058427601,0.001005310771467682416917752928202086974452870434741058427602,18/289,0.00099653979238754325,0.000996539792387543252595155709342560553633217993079584775086,0.000996539792387543252595155709342560553633217993079584775087,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
33/2000,0.0165,1/10,3092/4217,0.73322267014465260,0.733222670144652596632677258714726108608015176665876215318947,0.733222670144652596632677258714726108608015176665876215318948,0.73425968178243103,0.734259681782431031460891651733262427088374174196334825613420,0.734259681782431031460891651733262427088374174196334825613421,0.0010370116377784348,0.001037011637778434828214393018536318480358997530458610294473,0.001037011637778434828214393018536318480358997530458610294474,18/289,0.0010276816608996540,0.001027681660899653979238754325259515570934256055363321799307,0.001027681660899653979238754325259515570934256055363321799308,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
17/1000,0.017,1/10,3091/4216,0.73315939278937381,0.733159392789373814041745730550284629981024667931688804554079,0.733159392789373814041745730550284629981024667931688804554080,0.73422812270176025,0.734228122701760251605902782452170182679416365999415013653507,0.734228122701760251605902782452170182679416365999415013653508,0.0010687299123864376,0.001068729912386437564157051901885552698391698067726209099427,0.001068729912386437564157051901885552698391698067726209099428,18/289,0.0010588235294117647,0.001058823529411764705882352941176470588235294117647058823529,0.001058823529411764705882352941176470588235294117647058823530,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
7/400,0.0175,1/10,206/281,0.73309608540925267,0.733096085409252669039145907473309608540925266903914590747330,0.733096085409252669039145907473309608540925266903914590747331,0.73419655101711553,0.734196551017115534068827548247289262928733022213239920003275,0.734196551017115534068827548247289262928733022213239920003276,0.0011004656078628650,0.001100465607862865029681640773979654387807755309325329255944,0.001100465607862865029681640773979654387807755309325329255945,18/289,0.0010899653979238754,0.001089965397923875432525951557093425605536332179930795847750,0.001089965397923875432525951557093425605536332179930795847751,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
9/500,0.018,1/10,3089/4214,0.73303274798291410,0.733032747982914095870906502135738016136687233032747982914095,0.733032747982914095870906502135738016136687233032747982914096,0.73416496671970445,0.734164966719704448731963381660867215580167433711287148968747,0.734164966719704448731963381660867215580167433711287148968748,0.0011322187367903529,0.001132218736790352861056879525129199443480200678539166054651,0.001132218736790352861056879525129199443480200678539166054652,18/289,0.0011211072664359862,0.001121107266435986159169550173010380622837370242214532871972,0.001121107266435986159169550173010380622837370242214532871973,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
37/2000,0.0185,1/10,3088/4213,0.73296938048896273,0.732969380488962734393543793021599810111559458817944457631141,0.732969380488962734393543793021599810111559458817944457631142,0.73413336980072574,0.734133369800725744812876169030289398426074582577644587966301,0.734133369800725744812876169030289398426074582577644587966302,0.0011639893117630104,0.001163989311763010419332376008689588314515123759700130335159,0.001163989311763010419332376008689588314515123759700130335160,18/289,0.0011522491349480969,0.001152249134948096885813148788927335640138408304498269896193,0.001152249134948096885813148788927335640138408304498269896194,0 <= lambda <= 1/4; canonical P12,equal_weight_three_axis_cone,True,False
