epsilon_exact,epsilon,a_exact,c_exact,lambda_min_exact,loss_L,p_cert,p_cert_lower,p_cert_upper,p_rep,p_rep_lower,p_rep_upper,certified_width,certified_width_lower,certified_width_upper,theorem_applies,endpoint_kind,lower_p_endpoint_included,upper_p_endpoint_included,ensemble,exact_capacity_boundary
11/1000,0.011,239121/250000,10879/250000,1/3,0.052725483895414946,0.94884339841009604,0.948843398410096043958670787774627980464461773462360914227234,0.948843398410096043958670787774627980464461773462360914227235,0.94991525834416576,0.949915258344165760272830995960341680036678533178760103675853,0.949915258344165760272830995960341680036678533178760103675854,0.0010718599340697163,0.001071859934069716314160208185713699572216759716399189448619,0.001071859934069716314160208185713699572216759716399189448620,True,interior,True,False,equally_weighted_Pauli_axes,False
23/2000,0.0115,954529/1000000,45471/1000000,1/3,0.055067894205604463,0.94669358606640854,0.946693586066408540077081231362422585749639581152888685623474,0.946693586066408540077081231362422585749639581152888685623475,0.94780630279052619,0.947806302790526193887136020399512668343388991262075512848936,0.947806302790526193887136020399512668343388991262075512848937,0.0011127167241176538,0.001112716724117653810054789037090082593749410109186827225461,0.001112716724117653810054789037090082593749410109186827225462,True,interior,True,False,equally_weighted_Pauli_axes,False
3/250,0.012,14884/15625,741/15625,1/3,0.057405686433138349,0.94455785462810882,0.944557854628108822366095517207167737434313564649468612589377,0.944557854628108822366095517207167737434313564649468612589378,0.94571082114492845,0.945710821144928452891644927593662222309897562380940459454843,0.945710821144928452891644927593662222309897562380940459454844,0.0011529665168196305,0.001152966516819630525549410386494484875583997731471846865465,0.001152966516819630525549410386494484875583997731471846865466,True,interior,True,False,equally_weighted_Pauli_axes,False
1/80,0.0125,1521/1600,79/1600,1/3,0.059738872146866724,0.94243606862329130,0.942436068623291302539520681656287740329193961749351208030497,0.942436068623291302539520681656287740329193961749351208030498,0.94362868654063333,0.943628686540633328485395437983229194713215476207893512030531,0.943628686540633328485395437983229194713215476207893512030532,0.0011926179173420259,0.001192617917342025945874756326941454384021514458542304000033,0.001192617917342025945874756326941454384021514458542304000034,True,interior,True,False,equally_weighted_Pauli_axes,False
13/1000,0.013,237169/250000,12831/250000,1/3,0.062067462864487988,0.94032809432329766,0.940328094323297656140398760255765792621535119812910279588338,0.940328094323297656140398760255765792621535119812910279588339,0.94155977371052620,0.941559773710526201796129197698187982399442286895820756295343,0.941559773710526201796129197698187982399442286895820756295344,0.0012316793872285457,0.001231679387228545655730437442422189777907167082910476707005,0.001231679387228545655730437442422189777907167082910476707006,True,interior,True,False,equally_weighted_Pauli_axes,False
27/2000,0.0135,946729/1000000,53271/1000000,1/3,0.064391470052839295,0.93823379971475577,0.938233799714755770560514227616708942543085079388309169554872,0.938233799714755770560514227616708942543085079388309169554873,0.93950395896197597,0.939503958961975966275672813623504947375056772067284876723133,0.939503958961975966275672813623504947375056772067284876723134,0.0012701592472201957,0.001270159247220195715158586006796004831971692678975707168261,0.001270159247220195715158586006796004831971692678975707168262,True,interior,True,False,equally_weighted_Pauli_axes,False
7/500,0.014,59049/62500,3451/62500,1/3,0.066710905128184979,0.93615305447215532,0.936153054472155316078539519434311657600321775735337368392454,0.936153054472155316078539519434311657600321775735337368392455,0.93746112015216678,0.937461120152166781849639921254922293924464957491691752566492,0.937461120152166781849639921254922293924464957491691752566493,0.0013080656800114658,0.001308065680011465771100401820610636324143181756354384174037,0.001308065680011465771100401820610636324143181756354384174038,True,interior,True,False,equally_weighted_Pauli_axes,False
29/2000,0.0145,942841/1000000,57159/1000000,1/3,0.069025779456502929,0.93408572993094796,0.934085729930947962268216648671484052590556818709331247299724,0.934085729930947962268216648671484052590556818709331247299725,0.93543113666389232,0.935431136663892317843810710471478933256952747741162606075419,0.935431136663892317843810710471478933256952747741162606075420,0.0013454067329443556,0.001345406732944355575594061799994880666395929031831358775694,0.001345406732944355575594061799994880666395929031831358775695,True,interior,True,False,equally_weighted_Pauli_axes,False
3/200,0.015,9409/10000,591/10000,1/3,0.071336104353768947,0.93203169906116057,0.932031699061160566702352789594749352159002612275207340088284,0.932031699061160566702352789594749352159002612275207340088285,0.93341388938180240,0.933413889381802399479706579781328572926549306335746660421064,0.933413889381802399479706579781328572926549306335746660421065,0.0013821903206418328,0.001382190320641832777353790186579220767546694060539320332779,0.001382190320641832777353790186579220767546694060539320332780,True,interior,True,False,equally_weighted_Pauli_axes,False
31/2000,0.0155,938961/1000000,61039/1000000,1/3,0.073641891086239104,0.92999083644150996,0.929990836441509958767333136740458737648901177040167913925927,0.929990836441509958767333136740458737648901177040167913925928,0.93140926066909222,0.931409260669092223297190526620361931183026380417016545421859,0.931409260669092223297190526620361931183026380417016545421860,0.0014184242275822645,0.001418424227582264529857389879903193534125203376848631495931,0.001418424227582264529857389879903193534125203376848631495932,True,interior,True,False,equally_weighted_Pauli_axes,False
2/125,0.016,14641/15625,984/15625,1/3,0.075943150870730101,0.92796301823400823,0.927963018234008228880657307546081103716653262630923554501705,0.927963018234008228880657307546081103716653262630923554501706,0.92941713434462455,0.929417134344624550445452311725808771084732016070288864247162,0.929417134344624550445452311725808771084732016070288864247163,0.0014541161106163216,0.001454116110616321564795004179727667368078753439365309745457,0.001454116110616321564795004179727667368078753439365309745458,True,interior,True,False,equally_weighted_Pauli_axes,False
33/2000,0.0165,935089/1000000,64911/1000000,1/3,0.078239894874897665,0.92594812215904771,0.925948122159047712735516688239705040698758223467017498069060,0.925948122159047712735516688239705040698758223467017498069061,0.92743739566047552,0.927437395660475523600971882124126133264345245202208560139704,0.927437395660475523600971882124126133264345245202208560139705,0.0014892735014278109,0.001489273501427810865455193884421092565587021735191062070643,0.001489273501427810865455193884421092565587021735191062070644,True,interior,True,False,equally_weighted_Pauli_axes,False
17/1000,0.017,233289/250000,16711/250000,1/3,0.080532134217512979,0.92394602747095513,0.923946027470955131637336609082108161342102392924055667909275,0.923946027470955131637336609082108161342102392924055667909276,0.92546993127989498,0.925469931279894983530191876833133291785265185739118546726067,0.925469931279894983530191876833133291785265185739118546726068,0.0015239038089398519,0.001523903808939851892855267751025130443162792815062878816791,0.001523903808939851892855267751025130443162792815062878816792,True,interior,True,False,equally_weighted_Pauli_axes,False
7/400,0.0175,37249/40000,2751/40000,1/3,0.082819879968737191,0.92195661493400461,0.921956614934004613794396114120291625311331564461618906801019,0.921956614934004613794396114120291625311331564461618906801020,0.92351462925567239,0.923514629255672385216841985534818131943152222932629407879228,0.923514629255672385216841985534818131943152222932629407879229,0.0015580143216677714,0.001558014321667771422445871414526506631820658471010501078209,0.001558014321667771422445871414526506631820658471010501078210,True,interior,True,False,equally_weighted_Pauli_axes,False
9/500,0.018,58081/62500,4419/62500,1/3,0.085103143150393977,0.91997976679887958,0.919979766798879577816525634097551202438497691921481716410702,0.919979766798879577816525634097551202438497691921481716410703,0.92157137900889963,0.921571379008899631213548841844574671269817502855927224926592,0.921571379008899631213548841844574671269817502855927224926593,0.0015916122100200534,0.001591612210020053397023207747023468831319810934445508515890,0.001591612210020053397023207747023468831319810934445508515891,True,interior,True,False,equally_weighted_Pauli_axes,False
37/2000,0.0185,927369/1000000,72631/1000000,1/3,0.087381934736240219,0.91801536677957371,0.918015366779573708892730655798689930165644109099080709342374,0.918015366779573708892730655798689930165644109099080709342375,0.91964007130812235,0.919640071308122351642419603357049054186460659377884950289635,0.919640071308122351642419603357049054186460659377884950289636,0.0016247045285486427,0.001624704528548642749688947558359124020816550278804240947261,0.001624704528548642749688947558359124020816550278804240947262,True,interior,True,False,equally_weighted_Pauli_axes,False
19/1000,0.019,231361/250000,18639/250000,1/3,0.089656265652234774,0.91606330003072150,0.916063300030721500382807721693527072905257751197064558830129,0.916063300030721500382807721693527072905257751197064558830130,0.91772059824887137,0.917720598248871366241308036638807002682647468165405549118633,0.917720598248871366241308036638807002682647468165405549118634,0.0016572982181498659,0.001657298218149865858500314945279929777389716968340990288503,0.001657298218149865858500314945279929777389716968340990288504,True,interior,True,False,equally_weighted_Pauli_axes,False
39/2000,0.0195,923521/1000000,76479/1000000,1/3,0.091926146776805380,0.91412345312534907,0.914123453125349069084457790676960376907630805381249781762114,0.914123453125349069084457790676960376907630805381249781762115,0.91581285323356626,0.915812853233566264207007903907428119513930603666277961745497,0.915812853233566264207007903907428119513930603666277961745498,0.0016894001082171951,0.001689400108217195122550113230467742606299798285028179983383,0.001689400108217195122550113230467742606299798285028179983384,True,interior,True,False,equally_weighted_Pauli_axes,False
1/50,0.02,576/625,49/625,1/3,0.094191588941113697,0.91219571403303618,0.912195714033036181433630417373804604737385586228939123371898,0.912195714033036181433630417373804604737385586228939123371899,0.91391673095178323,0.913916730951783232493384803878189098133349556682936757971925,0.913916730951783232493384803878189098133349556682936757971926,0.0017210169187470511,0.001721016918747051059754386504384493395963970453997634600026,0.001721016918747051059754386504384493395963970453997634600027,True,interior,True,False,equally_weighted_Pauli_axes,False
41/2000,0.0205,919681/1000000,80319/1000000,1/3,0.096452602929318503,0.91027997209848065,0.910279972098480650562407238862038486084432646154621478091484,0.910279972098480650562407238862038486084432646154621478091485,0.91203212736087945,0.912032127360879452845546237058097690014270660297637713389860,0.912032127360879452845546237058097690014270660297637713389861,0.0017521552623988023,0.001752155262398802283138998196059203929838014143016235298375,0.001752155262398802283138998196059203929838014143016235298376,True,interior,True,False,equally_weighted_Pauli_axes,False
21/1000,0.021,229441/250000,20559/250000,1/3,0.098709199478837060,0.90837611802045648,0.908376118020456480669457018505839512676326527912685902668274,0.908376118020456480669457018505839512676326527912685902668275,0.91015893966696657,0.910158939666966572349231891233020218452806762102652673169186,0.910158939666966572349231891233020218452806762102652673169187,0.0017828216465100917,0.001782821646510091679774872727180705776480234189966770500911,0.001782821646510091679774872727180705776480234189966770500912,True,interior,True,False,equally_weighted_Pauli_axes,False
43/2000,0.0215,915849/1000000,84151/1000000,1/3,0.10096138928060467,0.90648404383115735,0.906484043831157345740261785506490327725130671764300946031512,0.906484043831157345740261785506490327725130671764300946031513,0.90829706630622593,0.908297066306225931801127535463362006270074359813221769802114,0.908297066306225931801127535463362006270074359813221769802115,0.0018130224750685861,0.001813022475068586060865749956871678544943688048920823770601,0.001813022475068586060865749956871678544943688048920823770602,True,interior,True,False,equally_weighted_Pauli_axes,False
